country,item_name,veg,non_veg,egg,vegan,quantity_type,quantity,base_cost,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,USD,EUR,GBP,INR,CNY,BRL,JPY,AUD,CAD,SGD,AED,SAR
India,Bisibele Bath,0,0,0,1,g,100,16,140,4.0,3.8,23.0,2.4,1.2,170,0.17,0.14,0.12,16.00,1.15,0.84,26.39,0.24,0.23,0.22,0.62,0.64
,Bitter gourd,1,0,0,0,g,100,5,19.68,1.46,0.25,0.97,3.66,0.06,12.28,0.05,0.05,0.04,5,0.36,0.26,8.25,0.07,0.07,0.07,0.19,0.2
,Bitter Gourd (Karela),0,0,0,1,unit,1,12,17,1,0.2,3.7,2.8,1.9,5,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
Netherlands,Bitterballen,0,1,0,0,unit,1,10,80,3.0,5.0,6.0,0.3,0.4,150,0.11,0.09,0.08,10.00,0.72,0.52,16.50,0.15,0.14,0.13,0.40,0.41
,Black berry,1,0,0,0,g,100,18,54.25,0.92,0.63,7.61,4.35,7.61,1.21,0.19,0.16,0.14,18,1.3,0.94,29.69,0.27,0.26,0.24,0.7,0.71
,Black Coffee,0,0,0,1,ml,100,5,2,0.3,0.0,0.0,0.0,0.0,2,0.05,0.05,0.04,5.00,0.36,0.26,8.25,0.07,0.07,0.07,0.18,0.19
,Black gram,1,0,0,0,g,100,11.8,307.72,22.52,1.64,45.69,16.17,0.65,22.84,0.12,0.11,0.09,11.8,0.85,0.62,19.46,0.17,0.17,0.16,0.46,0.47
,Black snapper,1,0,0,0,g,100,30,90.11,19.5,1.24,0,0,0,41.23,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Black Tea,0,0,0,1,ml,100,3,1,0.0,0.0,0.2,0.0,0.0,2,0.03,0.03,0.02,3.00,0.22,0.16,4.95,0.04,0.04,0.04,0.11,0.11
,Blackberry,0,0,0,1,unit,1,10,43,1.4,0.5,9.6,5.3,4.9,1,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
,Blackcurrant,0,0,0,1,unit,1,10,63,1.4,0.4,15.4,4.3,6.8,2,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
,Blood Lime,0,0,0,1,unit,1,12,40,0.7,0.2,10,2,7.5,1,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Blood Orange,0,0,0,1,unit,1,15,47,0.9,0.1,11.8,2.4,9,1,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
,Blueberry,0,0,0,1,unit,1,12,57,0.7,0.3,14.5,2.4,10,1,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Blueberry Juice,0,0,0,1,ml,100,30,50,0.2,0.1,12,0.2,10,1,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Bobbatlu,1,0,0,0,unit,1,35,320,8,8,54,4,12,85,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Boiled Egg,0,0,1,0,unit,1,8,78,6.3,5.3,0.6,0.0,0.6,62,0.08,0.07,0.06,8.00,0.58,0.42,13.20,0.12,0.12,0.11,0.29,0.30
,Boiled Egg Fry,0,0,1,0,unit,1,20,120,7,8,2,0,0.5,160,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
India,Boiled Vegetables,0,0,0,1,g,100,10,45,2.0,0.3,9.0,2.8,2.3,35,0.11,0.09,0.08,10.00,0.72,0.52,16.50,0.15,0.14,0.13,0.40,0.41
Ecuador,Bolon de Verde,1,0,0,0,unit,1,25,210,4.0,7.0,31.0,2.2,1.3,240,0.26,0.23,0.19,25.00,1.80,1.31,41.24,0.37,0.36,0.34,0.95,0.98
,Bombay duck,0,1,0,0,g,100,30,68.59,13.53,1.03,0,0,0,223,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Bombil Fry (Bombay Duck),0,1,0,0,g,100,160,220,18,12,8,1,1,420,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
,Bommuralu,1,0,0,0,g,100,30,115.92,22.3,2.87,0,0,0,61.87,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Boorelu,1,0,0,0,unit,1,18,160,3,5,25,1.5,10,35,0.19,0.16,0.14,18,1.3,0.94,29.69,0.27,0.26,0.24,0.7,0.71
,Bora,1,0,0,0,unit,1,12,100,2,5,12,1,0.5,110,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
India,Bora (Fritters),1,0,0,0,unit,1,12,110,2,5,14,1,0.8,120,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Bottle gourd,1,0,0,0,g,100,2,12.51,0.48,0.13,1.01,2.11,0.36,1.44,0.02,0.02,0.02,2,0.14,0.1,3.3,0.03,0.03,0.03,0.08,0.08
,Bottle Gourd (Lauki),0,0,0,1,unit,1,10,15,0.6,0,3.7,1.2,1.7,2,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
Luxembourg,Bouneschlupp,0,1,0,0,ml,100,12,58,2.7,2.7,5.8,1.1,1.0,180,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
Ireland,Boxty,1,0,0,0,unit,1,14,150,3.2,4.8,22.0,1.3,0.8,180,0.15,0.13,0.11,14.00,1.01,0.73,23.09,0.21,0.20,0.19,0.55,0.56
Germany,Bratwurst,0,1,0,0,unit,1,35,280,10.5,24.0,2.0,0.0,0.3,720,0.37,0.32,0.27,35.00,2.52,1.84,57.73,0.52,0.50,0.47,1.36,1.39
,Bread Slice,1,0,0,0,unit,1,3,70,2.4,1.0,12.5,0.8,1.4,125,0.03,0.03,0.02,3.00,0.22,0.16,4.95,0.04,0.04,0.04,0.11,0.11
India,Bread Upma,1,0,0,0,g,100,14,185,4.4,5.8,28.0,1.5,3.0,260,0.15,0.13,0.11,14.00,1.01,0.73,23.09,0.21,0.20,0.19,0.55,0.56
,Breadfruit,0,0,0,1,unit,1,30,103,1.1,0.2,27.1,4.9,11,2,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Brazil,Brigadeiro,1,0,0,0,unit,1,8,68,1.0,2.8,10.0,0.2,8.5,18,0.08,0.07,0.06,8.00,0.58,0.42,13.20,0.12,0.12,0.11,0.29,0.30
,Brinjal,1,0,0,0,g,100,4.5,25.31,1.49,0.32,2.12,3.92,0.98,3.52,0.05,0.04,0.04,4.5,0.32,0.24,7.42,0.07,0.06,0.06,0.17,0.18
,Brinjal (Eggplant),0,0,0,1,unit,1,10,25,1,0.2,5.9,3,3.5,2,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
,Broad beans,1,0,0,0,g,100,6,29.4,3.85,0.15,2.06,8.63,1.22,20.74,0.06,0.05,0.05,6,0.43,0.31,9.9,0.09,0.09,0.08,0.23,0.24
,Broccoli,0,0,0,1,unit,1,20,34,2.8,0.4,6.6,2.6,1.7,33,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Brown Bread,1,0,0,0,unit,1,4,69,3.6,1.1,12.0,1.9,1.4,122,0.04,0.04,0.03,4.00,0.29,0.21,6.60,0.06,0.06,0.05,0.15,0.15
,Brown Rice,0,0,0,1,g,100,10,370,7.9,2.9,77.2,3.5,0.9,7,0.11,0.09,0.08,10.00,0.72,0.52,16.50,0.15,0.14,0.13,0.40,0.41
United States,Brownie,1,0,0,0,unit,1,18,220,2.8,11.0,29.0,1.4,19.0,95,0.19,0.16,0.14,18.00,1.30,0.94,29.69,0.27,0.26,0.24,0.70,0.71
,Brussels sprouts,1,0,0,0,g,100,4,44.22,4.26,0.5,4.42,4.29,0.17,18.51,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
Slovakia,Bryndzove Halusky,1,0,0,0,g,100,24,185,6.1,8.5,21.0,1.0,1.1,260,0.25,0.22,0.19,24.00,1.73,1.26,39.59,0.35,0.35,0.32,0.92,0.94
,Buddha Bowl,0,0,0,1,g,100,30,145,4.5,5.0,20.0,4.0,2.0,140,0.32,0.27,0.23,30.00,2.16,1.57,49.49,0.44,0.43,0.40,1.18,1.20
,Buddha’s Hand,0,0,0,1,unit,1,20,40,0.5,0.2,9,3,2.5,1,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
United States,Buffalo Wings,0,1,0,0,unit,1,35,99,6.4,7.2,1.4,0.0,0.3,180,0.37,0.32,0.27,35.00,2.52,1.84,57.73,0.52,0.50,0.47,1.36,1.39
,Burger (Chicken/Beef),0,1,0,0,unit,1,150,320,16,14,30,2,5,560,1.58,1.35,1.17,150,10.79,7.87,247.43,2.21,2.16,2.02,5.8,5.93
Mexico,Burrito,0,1,0,0,unit,1,45,320,14.0,10.0,41.0,4.0,2.5,430,0.47,0.41,0.35,45.00,3.24,2.36,74.23,0.66,0.65,0.61,1.73,1.76
Mexico,Burrito Bowl,0,1,0,0,g,100,35,175,9.0,5.0,23.0,3.0,1.8,240,0.37,0.32,0.27,35.00,2.52,1.84,57.73,0.52,0.50,0.47,1.36,1.39
,Butter,1,0,0,0,g,100,65,717,0.9,81.1,0.1,0.0,0.1,11,0.68,0.59,0.51,65.00,4.68,3.41,107.22,0.96,0.94,0.87,2.50,2.55
,Butter Chicken,0,1,0,0,g,100,170,240,16,17,6,0.5,3,340,1.79,1.53,1.33,170,12.23,8.92,280.42,2.51,2.45,2.29,6.58,6.72
Canada,Butter Tarts,1,0,0,0,unit,1,12,150,1.5,7.0,21.0,0.4,13.0,85,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
,Butter Tea,1,0,0,0,ml,100,20,75,1,5,6,0,5,35,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
India,Buttermilk,1,0,0,0,ml,100,10,40,1.8,1,4.8,0,4.8,50,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
,Button mushroom,1,0,0,0,g,100,20,27.49,3.68,0.42,0.8,3.11,0.1,7.72,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Cabbage,1,0,0,0,g,100,4,23.18,1.99,0.18,1.66,2.49,0.74,20.56,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
,Cabbage Sabzi,0,0,0,1,g,100,30,85,2,4,10,3,2.5,120,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Canada,Caesar Cocktail,0,0,0,1,ml,100,18,52,0.6,0.2,7.5,0.4,5.5,240,0.19,0.16,0.14,18.00,1.30,0.94,29.69,0.27,0.26,0.24,0.70,0.71
United States,Caesar Salad,0,1,0,0,g,100,32,180,7.0,14.0,6.0,1.4,2.0,360,0.34,0.29,0.25,32.00,2.30,1.68,52.78,0.47,0.46,0.43,1.25,1.28
,Cafreal Chicken,0,1,0,0,g,100,160,230,19,15,5,1,1.5,320,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
Portugal,Caldo Verde,0,1,0,0,ml,100,12,55,2.4,2.8,5.0,1.0,0.8,260,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
,Calf,1,0,0,0,g,100,60,124.42,18.32,5.66,0,0,0,85.61,0.63,0.54,0.47,60,4.32,3.15,98.97,0.88,0.86,0.81,2.32,2.37
,Canned Tuna,0,1,0,0,g,100,45,116,26.0,1.0,0.0,0.0,0.0,247,0.47,0.41,0.35,45.00,3.24,2.36,74.23,0.66,0.65,0.61,1.73,1.76
,Cantaloupe,0,0,0,1,unit,1,35,34,0.8,0.2,8.2,0.9,7.9,16,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Cappuccino,1,0,0,0,ml,100,12,40,2.1,2.0,3.8,0.0,3.8,38,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
,Capsicum,1,0,0,0,g,100,6,18.24,1.31,0.41,1.09,2.15,0.92,1.7,0.06,0.05,0.05,6,0.43,0.31,9.9,0.09,0.09,0.08,0.23,0.24
,Capsicum Masala,0,0,0,1,g,100,35,90,2,5,10,2.5,3,130,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Cardamom,1,0,0,0,g,100,150,262.79,7.39,2.7,32.55,23.28,3.29,15.88,1.58,1.35,1.17,150,10.79,7.87,247.43,2.21,2.16,2.02,5.8,5.93
Panama,Carimañola,0,1,0,0,unit,1,18,160,4.0,6.4,21.4,1.4,0.7,190,0.19,0.16,0.14,18.00,1.30,0.94,29.69,0.27,0.26,0.24,0.70,0.71
,Carrot,1,0,0,0,g,100,7,35.73,0.99,0.47,4.92,4.33,3.59,56.51,0.07,0.06,0.05,7,0.5,0.37,11.55,0.1,0.1,0.09,0.27,0.28
,Carrot Peas Sabzi,0,0,0,1,g,100,35,95,3,4,12,4,4,120,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
El Salvador,Casamiento,0,0,0,1,g,100,12,154,4.5,2.2,28.3,3.0,0.6,180,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
,Cashew,0,0,0,1,unit,1,30,553,18.2,43.8,30.2,3.3,5.9,12,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Cashew nut,1,0,0,0,g,100,90,582.7,18.78,45.2,23.23,3.86,3.11,9,0.95,0.81,0.7,90,6.48,4.72,148.46,1.33,1.3,1.21,3.48,3.56
,Cat fish,0,1,0,0,g,100,22,116.4,19.02,4.19,0,0,0,32.05,0.23,0.2,0.17,22,1.58,1.15,36.29,0.32,0.32,0.3,0.85,0.87
,Catla,1,0,0,0,g,100,28,94.17,17.94,2.15,0,0,0,36.56,0.3,0.25,0.22,28,2.01,1.47,46.19,0.41,0.4,0.38,1.08,1.11
,Cauliflower,1,0,0,0,unit,1,30,22.94,2.15,0.44,1.05,3.71,0.47,30.72,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Cauliflower leaves,1,0,0,0,g,100,4,35.37,3.9,0.42,2.15,3.43,0.61,24.31,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
,Caviar Lime,0,0,0,1,unit,1,18,30,0.4,0.1,8,2.5,2,2,0.19,0.16,0.14,18,1.3,0.94,29.69,0.27,0.26,0.24,0.7,0.71
,Celery stalk,1,0,0,0,g,100,6,16.49,0.98,0.24,1.42,2.09,0.75,10.68,0.06,0.05,0.05,6,0.43,0.31,9.9,0.09,0.09,0.08,0.23,0.24
Lithuania,Cepelinai,0,1,0,0,unit,1,28,220,8.5,7.0,29.0,1.8,1.0,260,0.30,0.25,0.22,28.00,2.01,1.47,46.19,0.41,0.40,0.38,1.10,1.13
,Cha (Tea),0,0,0,1,ml,100,10,35,0.8,0.8,6,0,5.5,20,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
India,Chaas,1,0,0,0,ml,100,5,35,1.9,1.0,4.5,0.0,3.8,45,0.05,0.05,0.04,5.00,0.36,0.26,8.25,0.07,0.07,0.07,0.18,0.19
India,Chaas (Buttermilk),1,0,0,0,ml,100,10,40,1.8,1,4.8,0,4.8,50,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
India,Chaat,1,0,0,0,unit,1,40,220,5,8,31,4,4,410,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
,Chagempomba,0,0,0,1,g,100,30,120,3,3,20,3,1,110,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Chainsoo,1,0,0,0,g,100,35,145,8,5,16,3,1,170,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Chak-hao Kheer,1,0,0,0,g,100,45,180,3,4,32,1,18,50,0.47,0.41,0.35,45,3.24,2.36,74.23,0.66,0.65,0.61,1.74,1.78
,Chakhwi,1,0,0,0,g,100,35,120,3,6,13,2,1.5,150,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Chakla,1,0,0,0,g,100,30,97.04,20.21,1.68,0,0,0,51.41,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Chakli,0,0,0,1,unit,1,10,114,3,4.1,16.3,1.5,0.8,62.3,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
India,Chakuli Pitha,1,0,0,0,unit,1,15,120,2,2,23,1,0.5,80,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
India,Chamthong (Kangshoi),0,0,0,1,g,100,25,60,2,2,8,2.5,1,100,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
,Chana Dal,0,0,0,1,g,100,12,364,21.0,6.0,61.0,12.0,10.8,24,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
India,Chana Ghugni,1,0,0,0,g,100,30,160,7,5,21,5,2,170,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Chana Madra,1,0,0,0,g,100,35,160,7,8,18,4,2,210,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Chana Masala,0,0,0,1,g,100,40,165,8,5,22,6,4,220,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
,Chapati,0,0,0,1,unit,1,8,75,2.5,0.4,15,2,0.2,120,0.08,0.07,0.06,8,0.58,0.42,13.2,0.12,0.12,0.11,0.31,0.32
,Chappal,1,0,0,0,g,100,30,75.76,17.17,0.67,0,0,0,38.12,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Singapore,Char Kway Teow,0,1,0,0,g,100,24,180,5.5,7.0,23.0,0.9,1.2,370,0.25,0.22,0.19,24.00,1.73,1.26,39.59,0.35,0.35,0.32,0.92,0.94
China,Char Siu,0,1,0,0,g,100,38,242,18.0,14.0,10.0,0.1,7.0,520,0.40,0.34,0.30,38.00,2.73,1.99,62.68,0.56,0.55,0.51,1.47,1.50
,Cheddar Cheese,1,0,0,0,g,100,95,403,25.0,33.0,1.3,0.0,0.5,621,1.00,0.86,0.74,95.00,6.83,4.99,156.70,1.40,1.37,1.28,3.67,3.75
,Cheese,1,0,0,0,g,100,90,402,25.0,33.0,1.3,0.0,0.5,621,0.95,0.81,0.70,90.00,6.48,4.72,148.46,1.33,1.30,1.21,3.49,3.56
,Cheese Omelette,0,0,1,0,unit,1,16,145,9.0,11.0,1.5,0.0,0.5,160,0.17,0.14,0.12,16.00,1.15,0.84,26.39,0.24,0.23,0.22,0.62,0.64
,Cheese Pizza,1,0,0,0,unit,1,85,285,12.0,10.0,36.0,2.4,3.5,620,0.90,0.77,0.66,85.00,6.12,4.46,140.21,1.25,1.22,1.14,3.31,3.38
,Cheese Slices,1,0,0,0,unit,1,8,65,3.8,5.2,1.0,0.0,0.3,180,0.08,0.07,0.06,8.00,0.58,0.42,13.20,0.12,0.12,0.11,0.29,0.30
United States,Cheeseburger,0,1,0,0,unit,1,120,303,17.0,14.0,30.0,1.5,5.0,715,1.26,1.08,0.94,120.00,8.63,6.30,197.94,1.77,1.73,1.61,4.63,4.73
,Cheesecake,1,0,0,0,unit,1,28,257,4.4,18.0,20.0,0.4,17.0,250,0.30,0.25,0.22,28.00,2.01,1.47,46.19,0.41,0.40,0.38,1.10,1.13
,Chegodilu,0,0,0,1,unit,1,10,115,2,5,15,1,0.5,110,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
,Chelu,1,0,0,0,g,100,30,87.48,20.02,0.7,0,0,0,37.6,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Chembali,1,0,0,0,g,100,30,97.04,20.06,1.77,0,0,0,38.98,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Chepala Pulusu (Fish Curry),0,1,0,0,g,100,140,125,8,7,6,1.5,3,340,1.48,1.26,1.09,140,10.07,7.35,230.93,2.06,2.02,1.88,5.42,5.53
,Cherries,1,0,0,0,g,100,60,59.75,1.49,0.46,10.72,2.12,10.72,1.64,0.63,0.54,0.47,60,4.32,3.15,98.97,0.88,0.86,0.81,2.32,2.37
,Cherry,0,0,0,1,unit,1,18,50,1,0.3,12.2,1.6,8.5,3,0.19,0.16,0.14,18,1.3,0.94,29.69,0.27,0.26,0.24,0.7,0.71
,Chettinad Chicken,0,1,0,0,g,100,150,240,20,15,6,1,1.5,360,1.58,1.35,1.17,150,10.79,7.87,247.43,2.21,2.16,2.02,5.8,5.93
,Chhang,0,0,0,1,ml,100,20,62,0.5,0,13,0,2,5,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Chhang (Millet Beer),0,0,0,1,ml,100,20,65,0.5,0,13,0,2,5,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Chhena Gaja,1,0,0,0,unit,1,20,170,3,6,26,0,16,45,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Chhena Poda,1,0,0,0,unit,1,25,180,5,7,24,0,18,60,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
,Chhum Han,0,0,0,1,g,100,25,60,2,1,10,2.5,1,90,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
,Chhutagi,1,0,0,0,unit,1,80,240,6,4,41,2,2,170,0.84,0.72,0.62,80,5.76,4.2,131.96,1.18,1.15,1.08,3.1,3.16
,Chia Seeds,0,0,0,1,g,100,45,486,16.5,30.7,42.1,34.4,0.0,16,0.47,0.41,0.35,45.00,3.24,2.36,74.23,0.66,0.65,0.61,1.73,1.76
Panama,Chicheme,1,0,0,0,ml,100,10,84,1.7,1.9,15.2,0.3,9.1,45,0.11,0.09,0.08,10.00,0.72,0.52,16.50,0.15,0.14,0.13,0.40,0.41
,Chicken,0,1,0,0,g,100,17,236.14,19.21,12.42,0,0,0,59.79,0.18,0.15,0.13,17,1.22,0.89,28.04,0.25,0.24,0.23,0.66,0.67
India,Chicken 65,0,1,0,0,g,100,160,290,19,19,10,1,1,480,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
,Chicken Biryani,0,1,0,0,unit,1,160,480,18,16,58,2,2,620,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
United States,Chicken Burger,0,1,0,0,unit,1,110,315,17.0,13.0,31.0,1.5,5.0,650,1.16,0.99,0.86,110.00,7.91,5.77,181.45,1.62,1.58,1.48,4.26,4.35
India,Chicken Chettinad,0,1,0,0,g,100,160,235,20,15,6,1,1.5,340,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
China,Chicken Chow Mein,0,1,0,0,g,100,30,195,9.1,6.4,25.0,1.8,1.9,410,0.32,0.27,0.23,30.00,2.16,1.57,49.49,0.44,0.43,0.40,1.18,1.20
India,Chicken Curry,0,1,0,0,g,100,150,220,19,14,5,0.8,1.2,340,1.58,1.35,1.17,150,10.79,7.87,247.43,2.21,2.16,2.02,5.8,5.93
Zimbabwe,Chicken Dovi,0,1,0,0,g,100,30,205,14.6,13.2,6.2,0.9,1.4,260,0.32,0.27,0.23,30.00,2.16,1.57,49.49,0.44,0.43,0.40,1.18,1.20
China,Chicken Fried Rice,0,1,0,0,g,100,28,190,8.7,5.9,24.7,1.2,1.0,395,0.30,0.25,0.22,28.00,2.01,1.47,46.19,0.41,0.40,0.38,1.10,1.13
India,Chicken Fry,0,1,0,0,g,100,150,260,22,17,5,0.8,1,390,1.58,1.35,1.17,150,10.79,7.87,247.43,2.21,2.16,2.02,5.8,5.93
India,Chicken Ghee Roast,0,1,0,0,g,100,160,290,22,20,5,1,1,430,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
China,Chicken Hakka Noodles,0,1,0,0,g,100,30,202,8.9,6.8,26.0,1.7,2.0,420,0.32,0.27,0.23,30.00,2.16,1.57,49.49,0.44,0.43,0.40,1.18,1.20
,Chicken Korma,0,1,0,0,g,100,160,230,18,15,5,0.5,1,320,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
United Arab Emirates,Chicken Machboos,0,1,0,0,g,100,28,175,9.0,6.0,21.0,0.8,0.8,250,0.30,0.25,0.22,28.00,2.01,1.47,46.19,0.41,0.40,0.38,1.10,1.13
India,Chicken Manchurian,0,1,0,0,g,100,32,210,12.0,11.0,14.0,0.8,3.0,430,0.34,0.29,0.25,32.00,2.30,1.68,52.78,0.47,0.46,0.43,1.25,1.28
,Chicken mushroom,0,1,0,0,g,100,25,21.27,1.84,0.25,1.96,1.99,0.1,10.22,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
,Chicken Roast,0,1,0,0,g,100,160,250,24,16,2,0.2,0.5,280,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
India,Chicken Roll,0,1,0,0,unit,1,35,320,14.0,12.0,37.0,1.8,2.2,360,0.37,0.32,0.27,35.00,2.52,1.84,57.73,0.52,0.50,0.47,1.36,1.39
United States,Chicken Sandwich,0,1,0,0,unit,1,90,295,16.0,10.0,34.0,2.0,4.0,540,0.95,0.81,0.70,90.00,6.48,4.72,148.46,1.33,1.30,1.21,3.49,3.56
United States,Chicken Soup,0,1,0,0,ml,100,14,40,3.2,1.8,2.5,0.2,0.5,260,0.15,0.13,0.11,14.00,1.01,0.73,23.09,0.21,0.20,0.19,0.55,0.56
,Chicken Stew,0,1,0,0,g,100,130,140,10,9,4,0.5,1.5,220,1.37,1.17,1.01,130,9.35,6.82,214.44,1.92,1.87,1.75,5.03,5.14
India,Chicken Sukka,0,1,0,0,g,100,140,260,24,14,8,2,2,230,1.48,1.26,1.09,140,10.07,7.35,230.93,2.06,2.02,1.88,5.42,5.53
India,Chicken Thukpa,0,1,0,0,unit,1,100,290,14,9,37,3,2,430,1.05,0.9,0.78,100,7.19,5.25,164.95,1.47,1.44,1.34,3.87,3.95
,Chicken Tikka,0,1,0,0,g,100,170,220,24,12,4,0.5,1,300,1.79,1.53,1.33,170,12.23,8.92,280.42,2.51,2.45,2.29,6.58,6.72
United Kingdom,Chicken Tikka Masala,0,1,0,0,g,100,30,192,12.0,11.0,10.0,0.7,2.5,340,0.32,0.27,0.23,30.00,2.16,1.57,49.49,0.44,0.43,0.40,1.18,1.20
